Data platforms/ecosystems,Type,Type of data,Source
Carboledger,Platform,Carbon emission,https://www.carboledger.com
SAP Sustainability Data Exchange,Platform,Carbon emission,https://www.sap.com/products/scm/sustainability-data-exchange.html 
CircularTree,Platform,Carbon emission,https://www.circulartree.com
EcoVadis,Platform,Carbon emission,https://ecovadis.com
iLEAP,Ecosystem,Carbon emission,https://www.smartfreightcentre.org/en/our-programs/emissions-accounting/global-logistics-emissions-council/digitalization-program/ileap-integrating-logistics-emissions-and-pcfs/
Together for Sustainability,Ecosystem,Carbon emission,https://www.tfs-initiative.com
SiGREEN,Platform,Carbon emission,https://www.siemens.com/en-us/products/sigreen/
Ecochain,Platform,Carbon emission,https://ecochain.com
Carbon Maps,Platform,Carbon emission,https://www.carbonmaps.io
International Data Spaces Association,Ecosystem,Multi,https://internationaldataspaces.org
European Single Access Point,Platform,Multi,https://www.esma.europa.eu/esmas-activities/data/european-single-access-point-esap
Prometheus-X,Ecosystem,Multi,https://prometheus-x.org
Agri-Gaia,Ecosystem,Agri-food,https://www.agri-gaia.de
Cofinity-X,Platform,Automotive,https://www.cofinity-x.com
TE-FOOD,Ecosystem,Agri-food,https://te-food.com
Zetes,Platform,Multi,https://www.zetes.com
tex-tracer,Platform,Supply Chain Networks,https://www.tex-tracer.com
djustconnect,Platform,Agri-food,https://djustconnect.be
dataspace.dih,Platform,Multi,https://dih.telekom.com
eufarmbook,Platform,Agri-food,https://welcome.eufarmbook.eu
JoinData,Platform,Agri-food,https://join-data.nl/en/homepage
FoodLogiQ,Platform,Agri-food,https://www.trustwell.com/foodlogiq-home
TraceX,Platform,Agri-food,https://tracextech.com
Foodready,Platform,Agri-food,https://foodready.ai
IBM Food Trust,Platform,Agri-food,https://www.ibm.com/docs/en/app-connect/12.0.x?topic=applications-using-food-trust-app-connect-enterprise
FoodChain ID,Platform,Agri-food,https://www.foodchainid.com
Sphera,Platform,Multi,https://sphera.com
TraceGains,Platform,Agri-food,https://tracegains.com
Infor Nexus,Platform,Supply Chain Networks,https://www.infor.com/solutions/scm/infor-nexus 
FoodDocs,Platform,Agri-food,https://fooddocs.com
Farmsoft,Platform,Agri-food,https://www.farmsoft.com
Connecting Food,Platform,Agri-food,https://connecting-food.com
Kezzler,Platform,Multi,https://kezzler.com
ReposiTrak Traceability Network,Platform,Agri-food,https://repositrak.com
Trusty,Platform,Agri-food,https://www.trusty.id
Fairfood,Ecosystem,Agri-food,https://fairfood.org
Microsoft Azure,Platform,Multi,https://azure.microsoft.com/en-us/products/data-share
Snowflake Data Marketplace,Platform,Multi,https://app.snowflake.com/marketplace 
Databricks,Platform,Multi,https://www.databricks.com/product/marketplace 
Cloudera,Platform,Multi,https://www.cloudera.com
Delta Sharing,Ecosystem,Multi,https://delta.io/sharing
Dawex,Platform,Multi,https://www.dawex.com/en
myOpenFactory,Platform,Supply Chain Networks,https://www.myopenfactory.com
KetenlinK,Platform,Supply Chain Networks,https://www.ketenlink.nl
ECI Software Solutions,Platform,Supply Chain Networks,https://www.ecisolutions.com
EDI4STEEL,Ecosystem,Supply Chain Networks,https://edi4steel.nl
UBL-hub,Platform,Supply Chain Networks,https://www.ubl-hub.nl
Tradecloud,Platform,Supply Chain Networks,https://tradecloud1.com
SCSN ,Ecosystem,Supply Chain Networks,https://smart-connected.nl/en 
Partnership for Carbon Transparency (PACT),Ecosystem,Carbon emission,https://www.carbon-transparency.org
CDP,Platform,Carbon emission,https://www.cdp.net
Catena-X,Ecosystem,Automotive,https://catena-x.net
Global Battery Alliance,Ecosystem,Automotive,https://www.globalbattery.org
Green Deal Data Space,Ecosystem,Carbon emission,https://green-deal-dataspace.eu
GS1,Ecosystem,Multi,https://www.gs1.org
Global Food Safety Initiative,Ecosystem,Agri-food,https://mygfsi.com
Global Dialogue on Seafood Traceability,Ecosystem,Agri-food,https://thegdst.org
HERE Technologies,Platform,Mobility,https://www.here.com
PTV Group,Platform,Mobility,https://www.ptvgroup.com
INRIX,Platform,Mobility,https://inrix.com
Kapsch TrafficCom,Platform,Mobility,https://www.kapsch.net
Eona-x,Ecosystem,Mobility,https://eona-x.eu
Mobility Data Space,Ecosystem,Mobility,https://mobility-dataspace.eu
Rail Data Space,Ecosystem,Mobility,https://rail-data.space
Factory-X,Ecosystem,Automotive,https://factory-x.siemens.com
deployEMDS,Ecosystem,Mobility,https://deployemds.eu
tn-its,Ecosystem,Mobility,https://tn-its.eu
Advaneo Data Marketplace,Platform,Multi,https://advaneo.de/en
SENSORIS ASBL,Ecosystem,Mobility,https://sensor-is.org
Dataforroadsafety,Ecosystem,Mobility,https://www.dataforroadsafety.eu
project44,Platform,Supply Chain Networks,https://www.project44.com
FourKites,Platform,Supply Chain Networks,https://www.fourkites.com
EudraVigilance,Platform,Pharma,https://www.ema.europa.eu/en/human-regulatory-overview/research-development/pharmacovigilance-research-development/eudravigilance 
TraceLink,Platform,Pharma,https://www.tracelink.com
EHDS,Ecosystem,Pharma,https://health.ec.europa.eu/ehealth-digital-health-and-care/european-health-data-space_en 
TriNetX,Platform,Pharma,https://trinetx.com
TransCelerate BioPharma,Ecosystem,Pharma,https://www.transceleratebiopharmainc.com
Cdisc,Ecosystem,Pharma,https://www.cdisc.org
Rfxcel,Platform,Pharma,https://rfxcel.com
Farmatrust,Platform,Pharma,https://www.farmatrust.com
Agrimetrics,Platform,Agri-food,https://agrimetrics.co.uk
Farmobile,Platform,Agri-food,https://www.farmobile.com
MediLedger Network,Ecosystem,Pharma,https://www.mediledger.com
Darwin EU,Platform,Pharma,https://www.darwin-eu.org
CarbonChain,Platform,Carbon emission,https://carbonchain.com
Vinchain,Ecosystem,Automotive,https://vinchain.io
Caruso,Platform,Automotive,https://www.caruso-dataplace.com
oneTRANSPORT,Platform,Mobility,https://onetransport.io
Overture Maps Foundation,Ecosystem,Mobility,https://overturemaps.org
PharmaLedger,Ecosystem,Pharma,https://pharmaledger.org
Gaia-X,Ecosystem,Multi,https://gaia-x.eu
EuProGigant,Ecosystem,Automotive,https://euprogigant.com/en
Spherity,Platform,Pharma,https://www.spherity.com
SINE Foundation,Ecosystem,Carbon emission,https://sine.foundation
Vendia,Platform,Multi,https://www.vendia.com
OpenDataspaceLab,Ecosystem,Multi,https://opendataspacelab.eu
GAIA-X4 Future Mobility,Ecosystem,Mobility,https://www.gaia-x4futuremobility.de/en/home
GreenDataHub,Ecosystem,Carbon emission,https://greendatahub.at
FIWARE Foundation ,Ecosystem,Multi,https://www.fiware.org
Health Data Hub (France),Platform,Pharma,https://www.health-data-hub.fr
